decade,languages,n,language_eng,lang_2_K,census_1926,additional,additional_census
1940,бежтинский,9,Bezhta,Bezhta,1159,NA,NA
1940,гинухский,3,Hinuq,Hinuq,150,NA,NA
1940,даргинский,6,Dargwa,Nuclear North Dargwa,50241,NA,NA
1940,каратинский,7,Karata,Karata,4763,NA,NA
1940,кумыкский,25,Kumyk,Kumyk,61357,NA,NA
1940,лакский,6,Lak,Lak,38607,NA,NA
1940,лезгинский,38,Lezgian,Lezgian,88349,NA,NA
1940,рутульский,9,Rutul,Rutul,6539,Borch-Khnov Rutul,3792
1940,табасаранский,3,Tabasaran,Tabasaran,32273,NA,NA
1940,хновский рутульский,5,Rutul,Borch-Khnov Rutul,3792,NA,NA
1940,цахурский,2,Tsakhur,Tsakhur,3319,NA,NA
1940,цезский,12,Tsez,Tsez,2712,Sagadin Tsez,335
1950,аварский,182,Avar,Avar,124211,NA,NA
1950,азербайджанский,72,Azerbaijani,Azerbaijani,39547,NA,NA
1950,андийский,1,Andi,Upper Andic,6484,Lower Andic,1053
1950,ахвахский,6,Archi,Archi,856,NA,NA
1950,багвалинский,4,Bagvalal,Bagvalal,3052,NA,NA
1950,бежтинский,11,Bezhta,Bezhta,1159,NA,NA
1950,гинухский,7,Hinuq,Hinuq,150,NA,NA
1950,даргинский,5,Dargwa,Nuclear North Dargwa,50241,NA,NA
1950,каратинский,12,Karata,Karata,4763,NA,NA
1950,кумыкский,22,Kumyk,Kumyk,61357,NA,NA
1950,лакский,4,Lak,Lak,38607,NA,NA
1950,лезгинский,46,Lezgian,Lezgian,88349,NA,NA
1950,рутульский,6,Rutul,Rutul,6539,Borch-Khnov Rutul,3792
1950,табасаранский,4,Tabasaran,Tabasaran,32273,NA,NA
1950,тукитинский,2,Karata,Tokita Karata,657,NA,NA
1950,хновский рутульский,4,Rutul,Borch-Khnov Rutul,3792,NA,NA
1950,цахурский,6,Tsakhur,Tsakhur,3319,NA,NA
1950,цезский,13,Tsez,Tsez,2712,Sagadin Tsez,335
